,順位,コード,市場,名称,取引値,取引値.1,発行済み株式数,時価総額（百万円）,単元株数,掲示板
0,1,7203,東証1部,トヨタ自動車(株),01/07,2307.5,16314987460,37646834,100,掲示板
1,2,6758,東証1部,ソニーグループ(株),01/07,14540,1261081781,18336129,100,掲示板
2,3,6861,東証1部,(株)キーエンス,01/07,67850,243207684,16501641,100,掲示板
3,4,9432,東証1部,日本電信電話(株),01/07,3295,3622012656,11934532,100,掲示板
4,5,6098,東証1部,(株)リクルートホールディングス,01/07,6380,1695960030,10820225,100,掲示板
5,6,8035,東証1部,東京エレクトロン(株),01/07,64920,157210911,10206132,100,掲示板
6,7,9984,東証1部,ソフトバンクグループ(株),01/07,5489,1722953730,9457293,100,掲示板
7,8,8306,東証1部,(株)三菱ＵＦＪフィナンシャル・グループ,01/07,685.8,13281995120,9108792,100,掲示板
8,9,4063,東証1部,信越化学工業(株),01/07,19835,416662793,8264506,100,掲示板
9,10,9433,東証1部,ＫＤＤＩ(株),01/07,3524,2304179550,8119929,100,掲示板
10,11,6902,東証1部,(株)デンソー,01/07,10060,787944951,7926726,100,掲示板
11,12,6594,東証1部,日本電産(株),01/07,12915,596284468,7701014,100,掲示板
12,13,6367,東証1部,ダイキン工業(株),01/07,25805,293113973,7563806,100,掲示板
13,14,7974,東証1部,任天堂(株),01/07,53800,129869000,6986952,100,掲示板
14,15,9434,東証1部,ソフトバンク(株),01/07,1455.5,4787145170,6967690,100,掲示板
15,16,6501,東証1部,(株)日立製作所,01/07,6707,968234877,6493951,100,掲示板
16,17,4661,東証1部,(株)オリエンタルランド,01/07,17830,363690160,6484596,100,掲示板
17,18,9983,東証1部,(株)ファーストリテイリング,01/07,60670,106073656,6435489,100,掲示板
18,19,4519,東証1部,中外製薬(株),01/07,3725,1679057667,6254490,100,掲示板
19,20,7267,東証1部,ホンダ,01/07,3430,1811428430,6213200,100,掲示板
20,21,6981,東証1部,(株)村田製作所,01/07,9185,675814281,6207354,100,掲示板
21,22,7741,東証1部,ＨＯＹＡ(株),01/07,16180,369702020,5981779,100,掲示板
22,23,8316,東証1部,(株)三井住友フィナンシャルグループ,01/07,4150,1374362102,5703603,100,掲示板
23,24,8001,東証1部,伊藤忠商事(株),01/07,3564,1584889504,5648546,100,掲示板
24,25,8058,東証1部,三菱商事(株),01/07,3771,1485723351,5602663,100,掲示板
25,26,4568,東証1部,第一三共(株),01/07,2713,1947034029,5282303,100,掲示板
26,27,6273,東証1部,ＳＭＣ(株),01/07,75580,67369359,5091776,100,掲示板
27,28,4502,東証1部,武田薬品工業(株),01/07,3196,1582252525,5056879,100,掲示板
28,29,6954,東証1部,ファナック(株),01/07,24775,201909397,5002305,100,掲示板
29,30,4689,東証1部,Ｚホールディングス(株),01/07,638.4,7656327795,4887800,100,掲示板
30,31,8766,東証1部,東京海上ホールディングス(株),01/07,6933,697500000,4835768,100,掲示板
31,32,2914,東証1部,ＪＴ,01/07,2332.5,2000000000,4665000,100,掲示板
32,33,8031,東証1部,三井物産(株),01/07,2785.5,1642355644,4574782,100,掲示板
33,34,3382,東証1部,(株)セブン＆アイ・ホールディングス,01/07,5117,886441983,4535924,100,掲示板
34,35,4901,東証1部,富士フイルムホールディングス(株),01/07,8691,514625728,4472612,100,掲示板
35,36,7182,東証1部,(株)ゆうちょ銀行,01/07,1124,3749545020,4214489,100,掲示板
36,37,8411,東証1部,(株)みずほフィナンシャルグループ,01/07,1540.5,2539249894,3911714,100,掲示板
37,38,6702,東証1部,富士通(株),01/07,18760,207001821,3883354,100,掲示板
38,39,7751,東証1部,キヤノン(株),01/07,2804,1333763464,3739873,100,掲示板
39,40,6178,東証1部,日本郵政(株),01/07,967.6,3767870229,3645791,100,掲示板
40,41,5108,東証1部,(株)ブリヂストン,01/07,5082,713698221,3627014,100,掲示板
41,42,2413,東証1部,エムスリー(株),01/07,5095,678821700,3458597,100,掲示板
42,43,4503,東証1部,アステラス製薬(株),01/07,1854.5,1861787075,3452684,100,掲示板
43,44,4543,東証1部,テルモ(株),01/07,4459,759521040,3386704,100,掲示板
44,45,7733,東証1部,オリンパス(株),01/07,2525,1299294333,3280718,100,掲示板
45,46,6503,東証1部,三菱電機(株),01/07,1504,2147201551,3229391,100,掲示板
46,47,6752,東証1部,パナソニック(株),01/07,1315.5,2453866297,3228061,100,掲示板
47,48,9613,東証1部,(株)ＮＴＴデータ,01/07,2295,1402500000,3218738,100,掲示板
48,49,6201,東証1部,(株)豊田自動織機,01/07,9710,325840640,3163913,100,掲示板
49,50,8591,東証1部,オリックス(株),01/07,2448.5,1285724480,3148096,100,掲示板
50,順位,コード,市場,名称,取引値,取引値,発行済み株式数,時価総額（百万円）,単元株数,掲示板
